"","rawp","q.value","Bonferroni","R.fold"
"KLK1",0,0,0,0.486937729354995
"GOT1",0,0,0,0.493558993311001
"PTGER3",0,0,0,0.494370197666935
"PVALB",0,0,0,0.497987084081827
"HYAL1",0,0,0,0.507428910925921
"EPB41L5",0,0,0,0.514706520851458
"DARS2",0,0,0,0.517504573904031
"NNT",0,0,0,0.518772215205495
"FGF1",0,0,0,0.520431114905209
"MAGI2",0,0,0,0.521665550683436
"CERS2",0,0,0,0.522826376610216
"PTPN3",0,0,0,0.527430746361642
"MOCS1",0,0,0,0.528293290131592
"NEDD4L",0,0,0,0.528293742928567
"GAD1",0,0,0,0.528312021701285
"RHCG",0,0,0,0.531372249274103
"KBTBD11",0,0,0,0.532506608701813
"HADH",0,0,0,0.532932682418842
"SGK2",0,0,0,0.535116494647733
"FCN3",0,0,0,0.537439440784025
"DLAT",0,0,0,0.538328517559446
"KLK7",0,0,0,0.538803016304823
"DNAJA3",0,0,0,0.541925054462866
"LRPPRC",0,0,0,0.543629723196261
"EPHX1",0,0,0,0.54501674035338
"GRB10",0,0,0,0.54524436790613
"DMTN",0,0,0,0.54590411823443
"FOXI1",0,0,0,0.54593590111772
"SMPD1",0,0,0,0.546424785305913
"HSPA9",0,0,0,0.547621467322275
"PHB",0,0,0,0.548203866943958
"TMEM177",0,0,0,0.549090083468468
"GPD1L",0,0,0,0.549636885880244
"DHDDS",0,0,0,0.549687036511014
"ATP6V1H",0,0,0,0.550172800355435
"SPOCK1",0,0,0,0.550999904029351
"SLC4A1",0,0,0,0.551861907613089
"GHR",0,0,0,0.552850904130286
"BCL2L13",0,0,0,0.552940525099236
"TMEM59",0,0,0,0.555136735952193
"DPP6",0,0,0,0.555386538845849
"B4GAT1",0,0,0,0.558171505403485
"CRISP2",0,0,0,0.559214482463149
"CRHBP",0,0,0,0.559423426484959
"HMGCS2",0,0,0,0.560311213102861
"ADTRP",0,0,0,0.560374905821933
"SLC25A16",0,0,0,0.560399196615455
"AGAP1",0,0,0,0.561582987780821
"NECAB3",0,0,0,0.562046687948839
"SPR",0,0,0,0.562264308348388
"SYT13",0,0,0,0.562453158268676
"RPUSD2",0,0,0,0.56256769050048
"BCL2L2",0,0,0,0.562569500345338
"AQP6",0,0,0,0.563281199985252
"GRPEL1",0,0,0,0.563986917160937
"SELENBP1",0,0,0,0.564209052730528
"AMFR",0,0,0,0.565126814819858
"ST7",0,0,0,0.566219658228659
"BMP7",0,0,0,0.566699824562601
"PLA2R1",0,0,0,0.566984939709749
"AK2",0,0,0,0.567071145331337
"METTL1",0,0,0,0.567705949041372
"SEMA4G",0,0,0,0.568045854603782
"MPP5",0,0,0,0.568410291924819
"MDH2",0,0,0,0.568658246227572
"TSFM",0,0,0,0.568862418098577
"COQ3",0,0,0,0.570090145690779
"TEX2",0,0,0,0.570819848987182
"CYP2B6",0,0,0,0.571098677792555
"RHBG",0,0,0,0.571417133475096
"PATJ",0,0,0,0.571517869493423
"DERA",0,0,0,0.571688906220562
"EEF1AKMT3",0,0,0,0.571859390796291
"UNC13B",0,0,0,0.572386045886609
"ETFDH",0,0,0,0.572503217767008
"ALKBH4",0,0,0,0.572826003151211
"SUCLG1",0,0,0,0.573331570983142
"SDC1",0,0,0,0.573365691748359
"MAOA",0,0,0,0.573382534928679
"USP46",0,0,0,0.573693737856046
"ADGRF5",0,0,0,0.573786638630619
"CA2",0,0,0,0.573806552159071
"TNNT2",0,0,0,0.57399870235258
"ERAL1",0,0,0,0.575146970479643
"CLDN8",0,0,0,0.575633155619384
"TMEM53",0,0,0,0.575784169091251
"RORC",0,0,0,0.575844170473695
"NDUFS1",0,0,0,0.575854906188596
"GOT2",0,0,0,0.575940796120796
"RAB17",0,0,0,0.575976452276918
"CYB5R1",0,0,0,0.576030374566459
