"","rawp","q.value","Bonferroni","R.fold"
"KLF4",0,0,0,2.98997063176053
"TNFAIP3",0,0,0,2.81580840134939
"CENPJ",0,0,0,2.79770159705063
"KLF2",0,0,0,2.74895070231131
"PPP1R15A",0,0,0,2.73240128944791
"CD69",0,0,0,2.72655781328006
"IER5",0,0,0,2.64068239425984
"IRF1",0,0,0,2.62101798452451
"CXCL9",0,0,0,2.57674400679374
"PMAIP1",0,0,0,2.4999687909958
"CXCL10",0,0,0,2.49878491118415
"GBP1",0,0,0,2.45983835352749
"CXCL11",0,0,0,2.43386818554843
"PRF1",0,0,0,2.43312953673468
"EVI2A",0,0,0,2.42265645135425
"RGS1",0,0,0,2.41594948790979
"ZC3H12A",0,0,0,2.41512109509368
"IL10RA",0,0,0,2.40736767417587
"PLAC8",0,0,0,2.40119639130601
"MAP3K8",0,0,0,2.40089927227436
"CTSS",0,0,0,2.39761542725533
"HCP5",0,0,0,2.38530964137445
"PTPRC",0,0,0,2.38466317738951
"KLRD1",0,0,0,2.38176354049844
"TNF",0,0,0,2.37953080876554
"TRIM22",0,0,0,2.37940218148689
"IRF8",0,0,0,2.37358637169536
"CD48",0,0,0,2.37304313801367
"BTG2",0,0,0,2.37162985733392
"CD3D",0,0,0,2.3678630901035
"NKG7",0,0,0,2.36695981985363
"CREB5",0,0,0,2.36661776552704
"HLA-DQB2",0,0,0,2.36364456503498
"TAP1",0,0,0,2.36149906647257
"RUNX3",0,0,0,2.35113981391129
"LST1",0,0,0,2.3484064568424
"BIN2",0,0,0,2.34566137907718
"HLA-DPA1",0,0,0,2.33798069030017
"ITGAL",0,0,0,2.33385739125307
"CSF2RB",0,0,0,2.32885077866661
"P2RX7",0,0,0,2.32479791732191
"IL7R",0,0,0,2.32355007109573
"ARHGAP25",0,0,0,2.32177361087101
"CCL5",0,0,0,2.32053852043355
"MCL1",0,0,0,2.31631315556702
"CST7",0,0,0,2.31616256841586
"CD52",0,0,0,2.31387121348327
"IKZF1",0,0,0,2.30961854988959
"IDO1",0,0,0,2.30943483843001
"AIM2",0,0,0,2.30837824214483
"UBD",0,0,0,2.30495913565278
"LCP2",0,0,0,2.3042271521025
"KLRB1",0,0,0,2.30390508917475
"EVI2B",0,0,0,2.29552135461472
"PSMB9",0,0,0,2.29262262606223
"CD86",0,0,0,2.29258552523667
"BTN3A1",0,0,0,2.28967261045991
"BTN3A2",0,0,0,2.28821269067322
"CD247",0,0,0,2.28565063049749
"CD8A",0,0,0,2.28505510458726
"DEPP1",0,0,0,2.28276845183593
"STK17B",0,0,0,2.28200493250813
"HLA-DOB",0,0,0,2.28074242789028
"ANXA1",0,0,0,2.27219253818402
"APOBEC3G",0,0,0,2.27113781112653
"HLA-DPB1",0,0,0,2.2665778975951
"MYO1F",0,0,0,2.26465236789942
"GZMK",0,0,0,2.26222309093458
"GPR18",0,0,0,2.26205505932208
"BCL11B",0,0,0,2.26167749721436
"CXCR4",0,0,0,2.25937534593301
"CD2",0,0,0,2.25318882223892
"RGS10",0,0,0,2.25285452122069
"P2RY13",0,0,0,2.24919139571093
"GPR65",0,0,0,2.2474452634889
"SP140",0,0,0,2.24540990402058
"AOAH",0,0,0,2.24370007665424
"ADRB2",0,0,0,2.2432015800561
"LY9",0,0,0,2.24133678857644
"FOSB",0,0,0,2.24000743981367
"ISG20",0,0,0,2.23911861507542
"MXD1",0,0,0,2.23635214951712
"RIPOR2",0,0,0,2.23627031129908
"ITK",0,0,0,2.23363860526575
"KLF6",0,0,0,2.23235674851536
"DNAJB1",0,0,0,2.23096799370552
"LILRB1",0,0,0,2.23086452655935
"CD96",0,0,0,2.23032482059871
"HLA-E",0,0,0,2.22476943463846
"STAT4",0,0,0,2.22381082069025
"CLIC2",0,0,0,2.22354310185869
"GZMB",0,0,0,2.22202815721297
"MNDA",0,0,0,2.21674269951093
"GPR171",0,0,0,2.2153944090139
"SLAMF8",0,0,0,2.21426479614217
"IL2RB",0,0,0,2.20896132435202
"MICB",0,0,0,2.20499951364182
"WEE1",0,0,0,2.20455373524879
"MARCH1",0,0,0,2.20291497070475
"LYZ",0,0,0,2.18920863366751
"CLEC10A",0,0,0,2.18023959931047
"CXCL2",0,0,0,2.1789526826445
"P2RY10",0,0,0,2.16833409537113
"CASP1",0,0,0,2.16819751625013
"GIMAP6",0,0,0,2.16746413629154
"HLA-DMA",0,0,0,2.16708189388504
"DUSP5",0,0,0,2.16613359351583
"ST8SIA4",0,0,0,2.15984574360357
"PTPN22",0,0,0,2.15949268447961
"BIRC3",0,0,0,2.15651003165413
"GPR183",0,0,0,2.15341854009654
"LCK",0,0,0,2.152162078464
"HLA-DMB",0,0,0,2.15053614991914
"IKZF3",0,0,0,2.14858732388114
"CBX4",0,0,0,2.14598088482838
"SP110",0,0,0,2.14380386859349
"ACSL5",0,0,0,2.14223594141888
"APOL3",0,0,0,2.1398799194728
"SELL",0,0,0,2.13968371429507
"CELF2",0,0,0,2.13866274810592
"SP140L",0,0,0,2.13763050885073
"CSTA",0,0,0,2.13088689489329
"GNLY",0,0,0,2.13065208179019
"JUNB",0,0,0,2.13053962670669
"RIPK2",0,0,0,2.12864349911397
"PSMB8",0,0,0,2.12774921842345
"JUN",0,0,0,2.12526536804312
"TNFAIP8",0,0,0,2.12453999425678
"RAC2",0,0,0,2.1180024935686
"MAP4K1",0,0,0,2.11599607000502
"NFKBIE",0,0,0,2.11315269841811
"NOD2",0,0,0,2.11194089890508
"CLEC4A",0,0,0,2.11130621435675
"TYROBP",0,0,0,2.11073863080456
"PLK2",0,0,0,2.10985017159959
"CD1C",0,0,0,2.10894257844368
"ARHGAP15",0,0,0,2.10693429248259
"CORO1A",0,0,0,2.106795480739
"MS4A6A",0,0,0,2.1065804458808
"SLA",0,0,0,2.10636427396919
"NCF2",0,0,0,2.10529116369861
"FOXJ1",0,0,0,2.10425913831709
"IFI16",0,0,0,2.1031079250183
"HSPA1A",0,0,0,2.10295144108891
"PELI1",0,0,0,2.10186002008879
"TLR2",0,0,0,2.10115726616514
"SH2D1A",0,0,0,2.09767889407232
"MYC",0,0,0,2.09732698995762
"FCN1",0,0,0,2.09723405606361
"LAX1",0,0,0,2.09504128017873
"PTPRCAP",0,0,0,2.09413583862222
"RHOB",0,0,0,2.09263867442357
"SIRPG",0,0,0,2.09119390069461
"IFNG",0,0,0,2.08976078936052
"HCK",0,0,0,2.08955667632256
"MAFB",0,0,0,2.08872583259221
"CLEC2D",0,0,0,2.08446511566557
"TRAF3IP3",0,0,0,2.0838727608783
"ZFP36L2",0,0,0,2.08310433944612
"PRKCB",0,0,0,2.07722811931008
"SASH3",0,0,0,2.07441303621202
"CD38",0,0,0,2.07378644254095
"CD160",0,0,0,2.07176452451499
"DPEP2",0,0,0,2.07159005671087
"ADGRE5",0,0,0,2.07126430890529
"PYCARD",0,0,0,2.07070005863615
"ADCY7",0,0,0,2.06925372896843
"HLA-DRA",0,0,0,2.06894425062287
"UBE2L6",0,0,0,2.06593758407084
"CRLF3",0,0,0,2.06126017373893
"DOK2",0,0,0,2.06030901807754
"VMP1",0,0,0,2.06020703879885
"TENT5A",0,0,0,2.05872025579763
"LYN",0,0,0,2.05847505481157
"EZH2",0,0,0,2.05703328889075
"CCNL1",0,0,0,2.0552197182161
"ITGAX",0,0,0,2.05505201998801
"INPP5D",0,0,0,2.05274693584485
"RNF125",0,0,0,2.05195937942159
"DYRK2",0,0,0,2.04307726817996
"FAM53C",0,0,0,2.04258896156785
"IRF7",0,0,0,2.04170872493923
"HLA-B",0,0,0,2.04143155585378
"LAT2",0,0,0,2.04058043450379
"APOL1",0,0,0,2.0403936001316
"LAPTM5",0,0,0,2.04032521686675
"FYB1",0,0,0,2.04002019913818
"CLEC7A",0,0,0,2.03907772976593
"TRAT1",0,0,0,2.03828488659537
"IL16",0,0,0,2.03806570445162
"RRAD",0,0,0,2.0376020574734
"FAM49A",0,0,0,2.03460842184208
"RUBCNL",0,0,0,2.03453033107789
"SAMSN1",0,0,0,2.03442297987431
"PLEKHO2",0,0,0,2.03227139266408
"RTN1",0,0,0,2.02967174611299
"MCUB",0,0,0,2.02943909856947
"CD300A",0,0,0,2.0292518263849
"UBASH3A",0,0,0,2.02613113961095
"PIK3CG",0,0,0,2.02611958586008
"KIAA1551",0,0,0,2.02605040012348
"PRDM1",0,0,0,2.02375523727119
"RASSF2",0,0,0,2.02326563740477
"TCIRG1",0,0,0,2.02210547904775
"ADAMDEC1",0,0,0,2.0199122111154
"MYLIP",0,0,0,2.01862709524696
"ITGAM",0,0,0,2.01630828051407
"PVRIG",0,0,0,2.014733351652
"STAT1",0,0,0,2.01429308522778
"TLR8",0,0,0,2.01404993717747
"PTGDR",0,0,0,2.01108627390582
"CFP",0,0,0,2.01085542330925
"BTN2A2",0,0,0,2.01038136745635
"SOCS3",0,0,0,2.00865113322596
"C1QA",0,0,0,2.00796475858332
"SAMHD1",0,0,0,2.00746236894394
"FGR",0,0,0,2.0054923993105
"CASP3",0,0,0,2.00509585371016
"IL21R",0,0,0,2.0043074999177
"ITGB2",0,0,0,2.00417257578289
"POU2AF1",0,0,0,2.00377664924826
"PTPN6",0,0,0,2.00204360369159
"CD27",0,0,0,2.00177412036556
"RGS19",0,0,0,1.99981528368483
"GBP2",0,0,0,1.99785513810414
"ELF4",0,0,0,1.99639093470163
"DDIT3",0,0,0,1.9940054331601
"LILRB2",0,0,0,1.99287833823255
"GIMAP4",0,0,0,1.9920830955157
"ZAP70",0,0,0,1.99182191595855
"HLA-DOA",0,0,0,1.99131316626391
"CD8B",0,0,0,1.98886458337872
"IGSF6",0,0,0,1.9881283942585
"DNAJA1",0,0,0,1.98733307662764
"GCNT1",0,0,0,1.9869884120768
"FCMR",0,0,0,1.98692169482695
"DNAJB4",0,0,0,1.98534535371419
"OAS2",0,0,0,1.98424631056185
"PTPRE",0,0,0,1.98342392217406
"ST3GAL5",0,0,0,1.98159438644561
"P2RY14",0,0,0,1.97909875239108
"REL",0,0,0,1.97905328734619
"SRF",0,0,0,1.97313036127832
"CX3CR1",0,0,0,1.97167245913022
"LAIR1",0,0,0,1.97127262254204
"IL2RG",0,0,0,1.97107720624463
"CD180",0,0,0,1.97090260422339
"ELOVL1",0,0,0,1.96958037945259
"HSPA8",0,0,0,1.96898397293883
"CXCL1",0,0,0,1.96815368705302
"DUSP1",0,0,0,1.96663176876334
"TRIB1",0,0,0,1.965182023834
"NMI",0,0,0,1.96096383446807
"KLRC3",0,0,0,1.96068832732096
"FGL2",0,0,0,1.96065735283601
"HBEGF",0,0,0,1.96027008597073
"HLA-DRB1",0,0,0,1.95993029785108
"DOCK10",0,0,0,1.95932739605581
"TLR7",0,0,0,1.95783505074371
"LY86",0,0,0,1.95747111202787
"LCP1",0,0,0,1.9548598404911
"BCL2A1",0,0,0,1.95022069438607
"DUSP6",0,0,0,1.94826749796301
"NCF4",0,0,0,1.94488047780662
"ALOX5",0,0,0,1.9447615088064
"CX3CL1",0,0,0,1.94438257195952
"WIPF1",0,0,0,1.9441260279539
"C3AR1",0,0,0,1.94320305250845
"CD3G",0,0,0,1.94275675776051
"ARPC2",0,0,0,1.94275453960629
"APOBEC3A",0,0,0,1.94216226833991
"ADA",0,0,0,1.9418467814583
"DUSP2",0,0,0,1.94061147287291
"XAF1",0,0,0,1.94040150956308
"CD37",0,0,0,1.9379949485651
"CTSW",0,0,0,1.93610919157698
"NLRP1",0,0,0,1.93558212204827
"ZFP36L1",0,0,0,1.93447777489394
"PSTPIP2",0,0,0,1.93439906073986
"HLA-C",0,0,0,1.93078022288625
"IL12RB1",0,0,0,1.92876708987196
"SRGN",0,0,0,1.92844358383048
"MAN2B1",0,0,0,1.92774417530833
"TNFRSF1B",0,0,0,1.92743361723831
"TMSB10",0,0,0,1.92659657779316
"CD84",0,0,0,1.92429218919792
"PLEKHO1",0,0,0,1.92315890811908
"LAMP3",0,0,0,1.9230646562368
"LAT",0,0,0,1.92271260531911
"CCR7",0,0,0,1.92056912614795
"CNTRL",0,0,0,1.91987418354367
"TAP2",0,0,0,1.91852928014397
"VAMP1",0,0,0,1.91840412922344
"CAMK1D",0,0,0,1.91706925230559
"THEMIS2",0,0,0,1.91592596486735
"CXCL8",0,0,0,1.91498407351971
"PARP12",0,0,0,1.91288995705575
"PIK3R5",0,0,0,1.91143135940162
"CASP4",0,0,0,1.91028827403944
"MCTP1",0,0,0,1.90918059666654
"CEBPB",0,0,0,1.90915733197836
"ARL4C",0,0,0,1.90817935092914
"ACKR1",0,0,0,1.90686120141433
"PSTPIP1",0,0,0,1.90549377356001
"EVL",0,0,0,1.9053041625496
"SP100",0,0,0,1.90249529287435
"ERN1",0,0,0,1.90238375705668
"RTP4",0,0,0,1.90175352245039
"IFIT3",0,0,0,1.90155478220579
"HSPH1",0,0,0,1.90127208238316
"C1QB",0,0,0,1.89829302485647
"NCKAP1L",0,0,0,1.89821840184391
"AHR",0,0,0,1.89633778903792
"SLC20A1",0,0,0,1.89576799413427
"DHRS9",0,0,0,1.89386658754863
"CHIC2",0,0,0,1.89354804114826
"MS4A4A",0,0,0,1.89331473702495
"SLFN12",0,0,0,1.89263102170703
"ADGRE2",0,0,0,1.89047957757075
"RNASET2",0,0,0,1.88729401969253
"FCGR2B",0,0,0,1.88665576102448
"HOPX",0,0,0,1.88659648888848
"IFI44L",0,0,0,1.88521156972062
"AP1S2",0,0,0,1.88454225873909
"WAS",0,0,0,1.88348657832373
"AIF1",0,0,0,1.88286407619218
"GLIPR1",0,0,0,1.88249235018688
"SERTAD2",0,0,0,1.88237850231475
"DAPP1",0,0,0,1.88159526350624
"FAM129A",0,0,0,1.88137884471043
"SDC3",0,0,0,1.87967226572648
"SIGLEC1",0,0,0,1.87925644723271
"DCK",0,0,0,1.87737708219208
"RGS16",0,0,0,1.8764163879503
"ELMO1",0,0,0,1.87600997654752
"BAZ1A",0,0,0,1.87593473588557
"IGLL1",0,0,0,1.87570879013561
"TARP",0,0,0,1.87544738978121
"CTLA4",0,0,0,1.87449183183752
"BID",0,0,0,1.87368882274229
"ARHGEF6",0,0,0,1.87049913162399
"BTK",0,0,0,1.86868857860686
"RND3",0,0,0,1.86855943472012
"WARS",0,0,0,1.86585704416054
"RHOH",0,0,0,1.86556437842754
"FOS",0,0,0,1.86544956254207
"IL18RAP",0,0,0,1.86529521937654
"MX2",0,0,0,1.86475529592667
"CD1D",0,0,0,1.86404655517117
"CXCR6",0,0,0,1.86353796549348
"KLRF1",0,0,0,1.86289729540513
"OGFRL1",0,0,0,1.8606354568982
"PLA2G7",0,0,0,1.86001605747296
"H2AFY",0,0,0,1.85773294019798
"PSMB10",0,0,0,1.85673482194655
"SRSF7",0,0,0,1.85542650214504
"ARHGDIB",0,0,0,1.85440943673538
"DUSP4",0,0,0,1.85437136825885
"CD40",0,0,0,1.85384103386111
"CD33",0,0,0,1.85306627460499
"IFIT2",0,0,0,1.85287826066159
"SERPINH1",0,0,0,1.85195787010565
"DDB2",0,0,0,1.85154538137673
"TRAF5",0,0,0,1.85064829066966
"IFFO1",0,0,0,1.8486550440824
"PRKCH",0,0,0,1.84639426961981
"BTG1",0,0,0,1.84552932544816
"PTPN7",0,0,0,1.84410822628863
"TLR4",0,0,0,1.84382547915452
"KIF21B",0,0,0,1.84370577787797
"CXCL13",0,0,0,1.84273866111842
"JCHAIN",0,0,0,1.84083478890801
"SLAMF7",0,0,0,1.84047916385122
"CLK1",0,0,0,1.83892865334119
"TMEM131L",0,0,0,1.83535327135478
"MARCKSL1",0,0,0,1.83431175308931
"VAV1",0,0,0,1.83420173506864
"SECTM1",0,0,0,1.83406348045953
"CD44",0,0,0,1.8335994619729
"FN1",0,0,0,1.83323340975973
"DUSP10",0,0,0,1.83313566066753
"HLA-DQA1",0,0,0,1.83310857368159
"MARCKS",0,0,0,1.83110396409544
