set1,set2,GSM_set1,GSM_set2,expr.similarity,flag
GSE11166,GSE34437,GSM281636,GSM849064,0.989439555,FALSE
GSE11166,GSE34437,GSM281347,GSM849072,0.989570982,TRUE
GSE14328,GSE50058,GSM357862,GSM1213340,0.994366034,TRUE
GSE14328,GSE50058,GSM358003,GSM1213343,0.994116092,TRUE
GSE14328,GSE50058,GSM358017,GSM1213346,0.993644946,TRUE
GSE14328,GSE50058,GSM358020,GSM1213351,0.993624615,TRUE
GSE14328,GSE50058,GSM358258,GSM1213352,0.994035514,TRUE
GSE21374,GSE36059,GSM533984,GSM880204,0.999970505,TRUE
GSE21374,GSE36059,GSM533923,GSM880205,0.999970919,TRUE
GSE21374,GSE36059,GSM533958,GSM880206,0.999971794,TRUE
GSE21374,GSE36059,GSM533997,GSM880207,0.999977562,TRUE
GSE21374,GSE36059,GSM534074,GSM880208,0.999963731,TRUE
GSE21374,GSE36059,GSM533938,GSM880210,0.999977636,TRUE
GSE21374,GSE36059,GSM534121,GSM880215,0.999976669,TRUE
GSE21374,GSE36059,GSM533980,GSM880217,0.999974502,TRUE
GSE21374,GSE36059,GSM533948,GSM880219,0.999970198,TRUE
GSE21374,GSE36059,GSM534089,GSM880220,0.99996088,TRUE
GSE21374,GSE36059,GSM534201,GSM880222,0.999978921,TRUE
GSE21374,GSE36059,GSM533961,GSM880223,0.999973348,TRUE
GSE21374,GSE36059,GSM534122,GSM880224,0.999978399,TRUE
GSE21374,GSE36059,GSM534058,GSM880225,0.999971675,TRUE
GSE21374,GSE36059,GSM534003,GSM880226,0.999973774,TRUE
GSE21374,GSE36059,GSM534020,GSM880228,0.999967944,TRUE
GSE21374,GSE36059,GSM534090,GSM880231,0.999955005,TRUE
GSE21374,GSE36059,GSM533928,GSM880232,0.999977494,TRUE
GSE21374,GSE36059,GSM533963,GSM880233,0.999970132,TRUE
GSE21374,GSE36059,GSM534196,GSM880234,0.999978775,TRUE
GSE21374,GSE36059,GSM534186,GSM880235,0.999957713,TRUE
GSE21374,GSE36059,GSM534016,GSM880240,0.999977693,TRUE
GSE21374,GSE36059,GSM534017,GSM880241,0.999972765,TRUE
GSE21374,GSE36059,GSM534170,GSM880244,0.99997507,TRUE
GSE21374,GSE36059,GSM533950,GSM880247,0.999979131,TRUE
GSE21374,GSE36059,GSM534190,GSM880250,0.999980245,TRUE
GSE21374,GSE36059,GSM534200,GSM880252,0.999967739,TRUE
GSE21374,GSE36059,GSM533925,GSM880253,0.999980755,TRUE
